exposure.id	exposure.trait	outcome.id	outcome.trait	mr.b	mr.se	mr.pval	mr.method	mr.selection	mr.moescore
ukb-a-11	Morning/evening person (chronotype)	ieu-a-808	Bipolar disorder	0.171664118528727	0.024986166895085	6.40372656751215E-12	FE IVW	DF	1
ukb-a-11	Morning/evening person (chronotype)	ukb-d-20535	Waking too early	-0.133370913457228	0.01969712766486	1.27820693917812E-11	FE IVW	Tophits	0.65
ukb-a-11	Morning/evening person (chronotype)	ukb-b-5174	Average weekly beer plus cider intake	0.084397006033071	0.012750655751952	3.61557130993175E-11	FE IVW	HF	0.71
ukb-a-11	Morning/evening person (chronotype)	ukb-b-929	Frequency of tiredness / lethargy in last 2 weeks	0.067091881608616	0.011955055777159	1.99990938032889E-08	FE IVW	Tophits	0.72
ebi-a-GCST003837	Chronotype	ebi-a-GCST003766	Subjective well-being	-0.210502726342246	0.007667165085284	6.04003061008834E-166	FE IVW	DF	1
ieu-a-1087	Chronotype	ebi-a-GCST003766	Subjective well-being	-0.210502726342246	0.007667165085284	6.04003061008834E-166	FE IVW	DF	1
ebi-a-GCST003837	Chronotype	met-a-450	Bilirubin (Z;Z)	0.133016184855542	0.015292970344298	3.38187820200674E-18	FE IVW	DF	1
ieu-a-1087	Chronotype	met-a-450	Bilirubin (Z;Z)	0.133016184855542	0.015292970344298	3.38187820200674E-18	FE IVW	DF	1
ebi-a-GCST003837	Chronotype	ieu-a-26	Type 2 diabetes	0.826862343281846	0.099485269722138	9.45757450963359E-17	FE IVW	DF	1
ieu-a-1087	Chronotype	ieu-a-26	Type 2 diabetes	0.826862343281846	0.099485269722138	9.45757450963359E-17	FE IVW	DF	1
ebi-a-GCST003837	Chronotype	ebi-a-GCST005047	Type 2 diabetes	0.47087628101659	0.06004154348139	4.41635821975174E-15	FE IVW	DF	1
ieu-a-1087	Chronotype	ebi-a-GCST005047	Type 2 diabetes	0.47087628101659	0.06004154348139	4.41635821975174E-15	FE IVW	DF	1
ebi-a-GCST003837	Chronotype	ukb-b-14315	Treatment/medication code: nicorandil	-0.007487113238693	0.00098305160261	2.61261793349867E-14	FE IVW	DF	1
ieu-a-1087	Chronotype	ukb-b-14315	Treatment/medication code: nicorandil	-0.007487113238693	0.00098305160261	2.61261793349867E-14	FE IVW	DF	1
ebi-a-GCST003837	Chronotype	ieu-a-23	Type 2 diabetes	0.48154828800009	0.065012492443871	1.29177132300625E-13	FE IVW	DF	1
ieu-a-1087	Chronotype	ieu-a-23	Type 2 diabetes	0.48154828800009	0.065012492443871	1.29177132300625E-13	FE IVW	DF	1
ebi-a-GCST003837	Chronotype	met-c-855	Omega-3 fatty acids	0.628097522597922	0.085250063164342	1.73587235348177E-13	FE IVW	HF	0.68
ieu-a-1087	Chronotype	met-c-855	Omega-3 fatty acids	0.628097522597922	0.085250063164342	1.73587235348177E-13	FE IVW	HF	0.68
ebi-a-GCST003837	Chronotype	ebi-a-GCST005074	Testosterone levels	-0.297124177730099	0.048898211666277	1.22924938603464E-09	FE IVW	DF	1
ieu-a-1087	Chronotype	ebi-a-GCST005074	Testosterone levels	-0.297124177730099	0.048898211666277	1.22924938603464E-09	FE IVW	DF	1
ebi-a-GCST003837	Chronotype	ieu-a-302	Triglycerides	-0.16396657974592	0.027690146164825	3.19061805966832E-09	FE IVW	DF	1
ebi-a-GCST003837	Chronotype	ebi-a-GCST002216	Triglycerides	-0.16396657974592	0.027690146164825	3.19061805966832E-09	FE IVW	DF	1
ieu-a-1087	Chronotype	ieu-a-302	Triglycerides	-0.16396657974592	0.027690146164825	3.19061805966832E-09	FE IVW	DF	1
ieu-a-1087	Chronotype	ebi-a-GCST002216	Triglycerides	-0.16396657974592	0.027690146164825	3.19061805966832E-09	FE IVW	DF	1
ebi-a-GCST003837	Chronotype	met-c-936	Total fatty acids	0.62185462074732	0.107910436776296	8.27827387534132E-09	FE IVW	DF + HF	0.67
ieu-a-1087	Chronotype	met-c-936	Total fatty acids	0.62185462074732	0.107910436776296	8.27827387534132E-09	FE IVW	DF + HF	0.67
ebi-a-GCST003837	Chronotype	met-c-934	Serum total triglycerides	0.362743134999925	0.064303662177923	1.68971059622047E-08	FE IVW	HF	0.73
ieu-a-1087	Chronotype	met-c-934	Serum total triglycerides	0.362743134999925	0.064303662177923	1.68971059622047E-08	FE IVW	HF	0.73
