source	target	effectSize	intType	abseff
Chronotype	Type 2 diabetes	1.107568029	causal	1.107568029
Chronotype	Type 2 diabetes	0.470876281	causal	0.470876281
Chronotype	Type 2 diabetes	0.826862343	causal	0.826862343
Chronotype	Type 2 diabetes	0.481548288	causal	0.481548288
Chronotype	Omega-3 fatty acids	0.628097523	causal	0.628097523
Chronotype	Serum total triglycerides	0.362743135	causal	0.362743135
Chronotype	Total fatty acids	0.621854621	causal	0.621854621
Chronotype	Treatment/medication code: nicorandil	-0.007487113	causal	0.007487113
Morning/evening person (chronotype)	Bipolar disorder	0.171664119	causal	0.171664119
Morning/evening person (chronotype)	Average weekly beer plus cider intake	0.084397006	causal	0.084397006
Morning/evening person (chronotype)	Frequency of tiredness / lethargy in last 2 weeks	0.067091882	causal	0.067091882
Morning/evening person (chronotype)	Waking too early	-0.133370913	causal	0.133370913
Chronotype	Triglycerides in very small VLDL	0.275644368	collider	0.275644368
Chronotype	Total fatty acids	0.621854621	collider	0.621854621
Chronotype	Serum total triglycerides	0.362743135	collider	0.362743135
Chronotype	Phospholipids in small VLDL	0.232286287	collider	0.232286287
Chronotype	"Omega-7, omega-9 and saturated fatty acids"	0.580704269	collider	0.580704269
Chronotype	"N2,N2-dimethylguanosine"	-0.056602897	collider	0.056602897
Chronotype	Levulinate (4-oxovalerate)	-0.069540599	collider	0.069540599
Chronotype	Fasting blood insulin	0.116970887	collider	0.116970887
Chronotype	Current eye infection	-0.026628096	collider	0.026628096
Chronotype	Diagnoses - main ICD10: D17.2 Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs	-0.005260148	collider	0.005260148
Chronotype	"Diagnoses - secondary ICD10: J18.1 Lobar pneumonia, unspecified"	-0.001207428	collider	0.001207428
Chronotype	Sources of admission to hospital (recoded): Transfer within NHS provider: Surgical specialty	0.003701996	collider	0.003701996
Chronotype	Treatment/medication code: nicorandil	-0.007487113	collider	0.007487113
Chronotype	Operative procedures - secondary OPCS: S06.9 Unspecified other excision of lesion of skin	-0.00768513	collider	0.00768513
Chronotype	Operative procedures - secondary OPCS: U08.1 Computed tomography of abdomen NEC	-0.002801699	collider	0.002801699
Chronotype	Diagnoses - secondary ICD10: R79.8 Other specified abnormal findings of blood chemistry	0.003101401	collider	0.003101401
Chronotype	Treatment/medication code: calcichew 1.25g chewable tablet	-0.002292001	collider	0.002292001
Chronotype	Concentration of large VLDL particles	0.341667314	collider	0.341667314
Chronotype	Omega-3 fatty acids	0.628097523	collider	0.628097523
Chronotype	X-14632	0.092073048	collider	0.092073048
Chronotype	Triglycerides	-0.16396658	collider	0.16396658
Chronotype	Type 2 diabetes	0.470876281	collider	0.470876281
Chronotype	Tryptophan betaine	0.470821993	collider	0.470821993
Chronotype	X-12524	-0.065702878	collider	0.065702878
Morning/evening person (chronotype)	Narcolepsy	-1.641464081	collider	1.641464081
Omega-3 fatty acids	Triglycerides in very small VLDL	0.291473655	collider	0.291473655
Omega-3 fatty acids	Total fatty acids	0.33527818	collider	0.33527818
Omega-3 fatty acids	Serum total triglycerides	0.214797832	collider	0.214797832
Omega-3 fatty acids	Phospholipids in small VLDL	0.251638109	collider	0.251638109
Omega-3 fatty acids	"Omega-7, omega-9 and saturated fatty acids"	0.270814004	collider	0.270814004
Omega-3 fatty acids	"N2,N2-dimethylguanosine"	0.013975099	collider	0.013975099
Omega-3 fatty acids	Levulinate (4-oxovalerate)	0.021363175	collider	0.021363175
Omega-3 fatty acids	Fasting blood insulin	-0.081919342	collider	0.081919342
Omega-3 fatty acids	Current eye infection	0.002049759	collider	0.002049759
Omega-3 fatty acids	Diagnoses - main ICD10: D17.2 Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs	0.000957235	collider	0.000957235
Omega-3 fatty acids	"Diagnoses - secondary ICD10: J18.1 Lobar pneumonia, unspecified"	0.000541478	collider	0.000541478
Omega-3 fatty acids	Sources of admission to hospital (recoded): Transfer within NHS provider: Surgical specialty	-0.000467154	collider	0.000467154
Omega-3 fatty acids	Treatment/medication code: nicorandil	0.000793871	collider	0.000793871
Omega-3 fatty acids	Operative procedures - secondary OPCS: S06.9 Unspecified other excision of lesion of skin	0.000610342	collider	0.000610342
Omega-3 fatty acids	Operative procedures - secondary OPCS: U08.1 Computed tomography of abdomen NEC	0.000511519	collider	0.000511519
Serum total triglycerides	Diagnoses - secondary ICD10: R79.8 Other specified abnormal findings of blood chemistry	0.001328522	collider	0.001328522
Serum total triglycerides	Treatment/medication code: calcichew 1.25g chewable tablet	-0.000627354	collider	0.000627354
Serum total triglycerides	Phospholipids in small VLDL	0.900989198	collider	0.900989198
Serum total triglycerides	Concentration of large VLDL particles	0.799208602	collider	0.799208602
Serum total triglycerides	Omega-3 fatty acids	0.488301531	collider	0.488301531
Serum total triglycerides	X-14632	-0.067236707	collider	0.067236707
Serum total triglycerides	Levulinate (4-oxovalerate)	0.035452106	collider	0.035452106
